"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"gene:UTI89_C2790" 643.208146557246 -0.0741035720827645 0.378448714352884 0.0443931089972693 0.978047976427533 0.994210800705457
"gene:UTI89_C0959" 113.592976554226 -0.158712151252429 0.301654334998203 1.08178345317003 0.582228831889922 0.819924496847689
"gene:UTI89_C2469" 76.4493250385175 0.292224789698692 0.25469014057983 1.28934171095602 0.524835260331289 0.796439763962933
"gene:UTI89_C1914" 32.5948289286207 0.35418754281088 0.507276659351806 0.828216988521831 0.660929240346422 0.860381845286346
"gene:UTI89_C2628" 77.3249343532732 0.247996264658723 0.269662155738178 2.03818147675111 0.360922964421478 0.682344614895778
"gene:UTI89_C1367" 452.330045700298 -0.00324956227708705 0.147626346096967 0.0255560718677543 0.987303256546155 0.995903213666529
"gene:UTI89_C2102" 454.758266409256 -0.359854685170791 0.193655859872902 5.32234962505993 0.0698660939491286 0.301704330751031
"gene:UTI89_C4878" 2421.06754696876 0.141222347310882 0.142872816505102 1.3613062000677 0.506286228813327 0.786724503430197
"gene:UTI89_C0094" 3204.96469082447 0.156929423650959 0.148083104798363 2.56234494548312 0.27771150033048 0.611077200408244
"gene:UTI89_C4730" 639.72129217445 -0.495739048362034 0.119574682385852 17.7549156216064 0.000139498346362802 0.00312434264257411
"gene:UTI89_C0445" 316.868754030269 -0.0223719502554711 0.178874536805575 0.0813371818434803 0.960147278750831 0.988767430383665
"gene:UTI89_C3119" 1583.58038613658 -0.13423710553304 0.200193880492582 0.716127189506665 0.699028619040357 0.877685398824922
"gene:UTI89_C5046" 395.642890078651 0.129254031022339 0.289773159864249 1.54488290350207 0.461884023060423 0.756901563455742
"gene:UTI89_C4368" 321.691421176646 -0.461652273590087 0.428911686685058 1.70507298139239 0.426332171736546 0.731102037416609
"gene:UTI89_C2264" 58.0454823634348 -0.106271918206875 0.280387835201049 0.718473573489177 0.698209005139081 0.877668219939206
"gene:UTI89_C1761" 1215.82909800335 0.547124286233789 0.169546207387817 10.6903337757404 0.0047711548910156 0.0497225315501709
"gene:UTI89_C4448" 1.40627597495176 -0.136148308952836 0.762664584261941 0.0874839282437989 0.957200917788706 NA
"gene:UTI89_C2077" 58.762247584672 0.157701807345324 0.241148728343617 0.693048164025527 0.707141789684614 0.880881286506652
"gene:EBG00001165949" 15656.3589502344 0.0874697311291666 0.256765453505008 0.593177384749424 0.743349694890617 0.896999009815376
"gene:UTI89_C4738" 313.424467545985 0.382542866032292 0.155137579045107 7.89954997212914 0.0192590348390905 0.135640166992501
"gene:UTI89_C0607" 786.531951352742 0.320073383195891 0.140906377859162 5.52453531991034 0.0631484067601525 0.284242720259629
"gene:UTI89_C1485" 25.1483385649369 -0.255042599387561 0.23988044197131 1.10960719156947 0.574185022481436 0.816398869167876
"gene:UTI89_C2161" 216.275842035411 -0.362403175369275 0.222078828881651 3.00424262843381 0.22265733265264 0.550017350385553
"gene:UTI89_C4055" 417.595825448779 0.0623404307343906 0.254744884086915 0.740654220796955 0.690508421205894 0.874972864172792
"gene:UTI89_C0701" 131.136831136708 1.38494278263855 0.47419067197389 8.10004311865725 0.0174219990288422 0.127542181569637
"gene:UTI89_C0644" 986.189599701297 -0.118604748957536 0.171706681642347 0.76541681305082 0.6820117404673 0.871123631024832
"gene:UTI89_C2796" 1080.42061145044 0.522172462939635 0.190740423633717 7.35647841423895 0.0252674263932514 0.163605775003287
"gene:UTI89_C0258" 156.021352668957 -0.182805463991473 0.27660101318596 1.48313006079309 0.476367801738294 0.767666231498224
"gene:UTI89_C3411" 971.108923735371 0.228029315721192 0.359526054005207 0.482009900181197 0.785837736410727 0.912854824102904
