"","rownames(resOrderedDF)","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:UTI89_C4738","gene:UTI89_C4738",272.120249607534,-0.709082337149216,0.236557651448274,-2.99750328432841,0.00272200925718714,0.0987838394966424
"gene:UTI89_C2182","gene:UTI89_C2182",278.501535434707,1.9443061952129,0.486559485477518,3.99602978308958,6.44136337989835e-05,0.00499400854771816
"gene:UTI89_C3667","gene:UTI89_C3667",5126.77524838028,-1.04205084932732,0.309988743673814,-3.36157641396108,0.000774989098396277,0.0363818276742546
"gene:UTI89_C3790","gene:UTI89_C3790",312.368493858873,0.942872080960949,0.277795423767518,3.39412387782897,0.000688485415735391,0.0332356591728113
"gene:UTI89_C4101","gene:UTI89_C4101",162.521781045787,-0.960073988748759,0.288348168447147,-3.32956506683946,0.000869817382112664,0.0400977976961307
"gene:UTI89_C4029","gene:UTI89_C4029",30.5302881686345,1.56162091425033,0.486030878216287,3.21300761791393,0.00131352805559447,0.0560110255039741
"gene:UTI89_C2106","gene:UTI89_C2106",15870.1973855561,-1.48449819154087,0.409498163654371,-3.62516446543538,0.000288777613976297,0.0164186116746302
"gene:UTI89_C0177","gene:UTI89_C0177",4794.11147275025,-0.874551447216051,0.270723534346806,-3.23042268684229,0.00123607329368182,0.0534133324102135
"gene:UTI89_C4031","gene:UTI89_C4031",5.59964595080414,1.47546066973658,0.480406518181322,3.07127529268803,0.00213146531388173,0.0832573130620825
"gene:UTI89_C3425","gene:UTI89_C3425",938.689704606691,1.73283608224971,0.469328414397551,3.69216103072313,0.000222356596058881,0.0132302174655034
"gene:UTI89_C5074","gene:UTI89_C5074",445.532818052942,1.9466817851714,0.439726118040292,4.42703243065728,9.55383728735251e-06,0.000997693579579241
"gene:UTI89_C0596","gene:UTI89_C0596",759.193438639703,3.88022987319898,0.418396210230298,9.27405597451082,1.79198832142281e-20,4.58480212036025e-17
"gene:UTI89_C2429","gene:UTI89_C2429",1744.87236008811,2.28175725461622,0.47555986203346,4.79804423539781,1.60222398894793e-06,0.000204964503786165
"gene:UTI89_C3034","gene:UTI89_C3034",27.7060339721066,1.84171794750006,0.488482766512976,3.77028233902113,0.000163062966052611,0.0101755267962343
"gene:UTI89_C2330","gene:UTI89_C2330",37.560964138312,-1.1825376857157,0.358055644165967,-3.30266455782376,0.000957708767480459,0.0429876821333115
"gene:UTI89_P028","gene:UTI89_P028",2561.7176775294,1.56783767173842,0.45809489428601,3.42251723670062,0.000620441638974799,0.0305269217945581
"gene:UTI89_C1576","gene:UTI89_C1576",176.620690396917,-1.28606047142846,0.351434528202016,-3.65945963820945,0.000252747646527454,0.0145315697447301
"gene:UTI89_C1122","gene:UTI89_C1122",1835.87417871132,1.90029529102206,0.479010531424354,3.96712632887521,7.27444386017811e-05,0.005342529892415
